,adm3_sec_code,departement,commune,section_communale,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male,IHSI_UNFPA_2019
330,54301,Artibonite,Grande Saline,1re Section Poteneau,13 016,14 521,27 537
331,54401,Artibonite,Desdunes,1re Section de Desdunes,21 826,22 050,43 876
332,55101,Artibonite,Saint-Michel de l'Attalaye,1re Section Platana,18 601,17 882,36 483
333,55102,Artibonite,Saint-Michel de l'Attalaye,2e Section Camathe,6 623,6 566,13 189
334,55103,Artibonite,Saint-Michel de l'Attalaye,3e Section Bas de Sault,12 299,11 925,24 224
335,55104,Artibonite,Saint-Michel de l'Attalaye,4e Section Lalomas,10 065,9 980,20 045
336,55105,Artibonite,Saint-Michel de l'Attalaye,5e Section l'Ermite,6 094,6 041,12 136
337,55106,Artibonite,Saint-Michel de l'Attalaye,6e Section Lacedras,8 909,8 832,17 741
338,55107,Artibonite,Saint-Michel de l'Attalaye,7e Section Marmont,11 998,11 878,23 877
339,55108,Artibonite,Saint-Michel de l'Attalaye,8e Section l'Attalaye,15 591,15 071,30 662
340,55201,Artibonite,Marmelade,1re Section Crête à Pins,9 871,10 307,20 179
341,55202,Artibonite,Marmelade,2e Section Bassin ou Billier,7 472,7 655,15 127
342,55203,Artibonite,Marmelade,3e Section Platon,4 837,4 956,9 793
343,61101,Centre,Hinche,1re Section Juanaria,34 246,34 315,68 561
344,61102,Centre,Hinche,2e Section Marmont,9 214,9 676,18 889
345,61103,Centre,Hinche,3e Section Aguahedionde (Rive Droite),11 953,12 496,24 450
346,61104,Centre,Hinche,4e Section Aguahedionde (Rive Gauche),12 223,12 836,25 059
347,61201,Centre,Maïssade,1re Section Savane Grande,19 634,20 618,40 252
348,61202,Centre,Maïssade,2e Section Narang,4 994,5 362,10 356
349,61203,Centre,Maïssade,3e Section Hatty,7 803,8 380,16 182
350,61301,Centre,Thomonde,1re Section Cabral,13 716,14 639,28 355
351,61302,Centre,Thomonde,2e Section Tierra Muscady,7 391,8 261,15 652
352,61303,Centre,Thomonde,3e Section Baille Tourrible,3 776,4 218,7 993
353,61304,Centre,Thomonde,La Hoye,8 556,9 563,18 119
354,61401,Centre,Cerca Carvajal,1re Section Rang,13 083,13 268,26 351
355,62101,Centre,Mirebalais,1re Section Gascogne,12 555,13 011,25 566
356,62102,Centre,Mirebalais,2e Section Sarazin,7 862,8 145,16 007
357,62103,Centre,Mirebalais,3e Section Grand Boucan,9 124,9 455,18 579
358,62104,Centre,Mirebalais,4e Section Crête Brûlee,25 182,25 437,50 619
359,62201,Centre,Saut d'Eau,1re Section Canot ou Rivière Canot,7 439,8 093,15 532
360,62202,Centre,Saut d'Eau,2e Section la Selle,5 796,6 254,12 050
361,62203,Centre,Saut d'Eau,3e Section Coupe Mardi Gras,4 718,5 079,9 797
362,62204,Centre,Saut d'Eau,4e Section Montagne Terrible,3 319,3 573,6 892
363,62301,Centre,Boucan Carré,1re Section Petite Montagne,5 411,5 878,11 288
364,62302,Centre,Boucan Carré,2e Section Boucan Carre,12 065,13 096,25 161
365,62303,Centre,Boucan Carré,3e Section des Bayes,12 971,14 068,27 039
366,63101,Centre,Lascahobas,1re Section Petit Fond,8 434,8 749,17 183
367,63102,Centre,Lascahobas,2e Section Juampas,17 384,17 413,34 797
368,63201,Centre,Belladère,1re Section Renthe Mathe,27 775,28 987,56 762
369,63202,Centre,Belladère,2e Section Roye-Sec,9 682,10 419,20 101
370,63203,Centre,Belladère,3e Section Riaribes,10 249,11 032,21 282
371,63301,Centre,Savanette,1re Section de Savanette (Colombier),5 156,5 411,10 567
372,63302,Centre,Savanette,2e Section la Haye,15 012,15 442,30 454
373,64101,Centre,Cerca La Source,1re Section Acaj ou Brûle No 1,11 320,11 831,23 152
374,64102,Centre,Cerca La Source,2e Section Acaj ou Brûle No 1,13 182,13 532,26 714
375,64103,Centre,Cerca La Source,3e Section Lamielle,6 939,7 254,14 194
376,64201,Centre,Thomassique,1re Section Matelgate,20 905,21 216,42 121
377,64202,Centre,Thomassique,2e Section Lociane,14 580,14 940,29 520
378,71101,Sud,Les Cayes,1re Section Bourdet,37 716,35 395,73 111
379,71102,Sud,Les Cayes,2e Section Fonfrède,3 705,3 939,7 645
380,71103,Sud,Les Cayes,3e Section Laborde,5 907,6 168,12 075
381,71104,Sud,Les Cayes,4e Section Laurent,23 384,21 899,45 283
382,71105,Sud,Les Cayes,5e Section Mercy,3 733,3 968,7 701
383,71106,Sud,Les Cayes,6e Section Boulmier,4 379,4 656,9 035
384,71201,Sud,Torbeck,1re Section Boury,14 429,15 929,30 358
385,71202,Sud,Torbeck,2e Section Berault,8 936,9 902,18 837
386,71203,Sud,Torbeck,3e Section Solon,9 472,10 450,19 922
387,71204,Sud,Torbeck,4e Section Moreau,4 061,4 486,8 547
388,71301,Sud,Chantal,1re Section Fonds Palmiste,3 203,3 589,6 792
389,71302,Sud,Chantal,2e Section Melonière,7 869,8 631,16 500
390,71303,Sud,Chantal,3e Section Carrefour Canon,5 443,6 095,11 538
391,71401,Sud,Camp-Perrin,1re Section Levy Mersan,7 246,8 061,15 307
392,71402,Sud,Camp-Perrin,2e Section Champlois,9 440,10 399,19 839
393,71403,Sud,Camp-Perrin,3e Section Tibi Davezac,5 106,5 728,10 834
394,71501,Sud,Maniche,1re Section Maniche,4 178,4 746,8 924
395,71502,Sud,Maniche,2e Section Dory,2 852,3 292,6 144
396,71503,Sud,Maniche,3e Section Melon,4 349,5 015,9 364
397,71601,Sud,Île à Vache,1re Section Île à Vache,7 270,8 449,15 720
398,72101,Sud,Port-Salut,1re Section Barbois,6 281,7 122,13 403
399,72102,Sud,Port-Salut,2e Section Dumont,2 929,3 163,6 092
400,72201,Sud,Saint Jean du Sud,1re Section Tapion,4 783,5 700,10 483
401,72202,Sud,Saint Jean du Sud,2e Section Debouchette,3 132,3 732,6 864
402,72203,Sud,Saint Jean du Sud,3e Section Trichet,4 011,4 740,8 751
403,72301,Sud,Arniquet,1re Section Lazarre,1 084,1 264,2 348
404,72302,Sud,Arniquet,2e Section Anse à Drick,7 398,8 614,16 011
405,72303,Sud,Arniquet,3e Section d'Arniquet,5 264,6 164,11 428
406,73101,Sud,Aquin,1re Section Macéan,4 712,4 847,9 559
407,73102,Sud,Aquin,2e Section Bellevue,7 585,7 832,15 418
408,73103,Sud,Aquin,3e Section Brodequin,7 210,7 214,14 424
409,73104,Sud,Aquin,4e Section Flamands,2 955,3 110,6 065
410,73105,Sud,Aquin,5e Section Mare à Coiffe,3 818,4 018,7 836
411,73106,Sud,Aquin,6e Section La Colline,8 006,8 429,16 435
412,73107,Sud,Aquin,7e Section Frangipane,5 565,5 857,11 423
413,73108,Sud,Aquin,8e Section Colline à Mongons,3 618,3 810,7 427
414,73109,Sud,Aquin,9e Section Fond des Blancs,3 902,4 080,7 983
415,73110,Sud,Aquin,10e Section Guirand,4 781,5 032,9 814
416,73201,Sud,Saint louis du Sud,1re Section Grand Fonds,1 397,1 457,2 854
417,73202,Sud,Saint louis du Sud,2e Section Baie Dumesle,8 425,8 561,16 986
418,73203,Sud,Saint louis du Sud,3e Section Grenodière,6 302,6 568,12 870
419,73204,Sud,Saint louis du Sud,4e Section Zanglais,4 408,4 596,9 003
420,73205,Sud,Saint louis du Sud,5e Section Sucrerie Henri,2 563,2 674,5 238
421,73206,Sud,Saint louis du Sud,6e Section Solon,4 065,4 237,8 302
422,73207,Sud,Saint louis du Sud,7e Section Cherette,2 807,2 924,5 731
423,73208,Sud,Saint louis du Sud,8e Section Corail-Henri,2 591,2 699,5 290
424,73301,Sud,Cavaillon,1re Section Boileau,8 006,8 943,16 949
425,73302,Sud,Cavaillon,2e Section Martineau,6 608,7 290,13 898
426,73303,Sud,Cavaillon,3e Section Gros Marin,3 177,3 548,6 725
427,73304,Sud,Cavaillon,4e Section Mare Henri,3 957,4 418,8 375
428,73305,Sud,Cavaillon,5e Section Laroque,1 771,1 981,3 752
429,74101,Sud,Côteaux,1re Section Conde,3 228,3 547,6 775
430,74102,Sud,Côteaux,2e Section Despas,5 152,5 597,10 749
431,74103,Sud,Côteaux,3e Section Quentin,2 012,2 209,4 221
432,74201,Sud,Port-à-Piment,1re Section Paricot,6 183,6 464,12 647
433,74202,Sud,Port-à-Piment,2e Section Balais,3 234,3 434,6 668
434,74301,Sud,Roche à Bâteau,1re Section Beaulieu,6 399,7 034,13 433
435,74302,Sud,Roche à Bâteau,2e Section Renaudin,908,999,1 908
436,74303,Sud,Roche à Bâteau,3e Section Beauclos,1 639,1 796,3 435
437,75101,Sud,Chardonnières,1re Section Randel,4 579,5 303,9 882
438,75102,Sud,Chardonnières,2e Section Dejoie,2 895,3 387,6 282
439,75103,Sud,Chardonnières,3e Section Bony,4 471,5 129,9 601
440,75201,Sud,Les Anglais,1re Section Verone,2 705,3 101,5 806
441,75202,Sud,Les Anglais,2e Section Edelin,1 858,2 128,3 986
442,75203,Sud,Les Anglais,3e Section Cosse,9 849,10 870,20 719
443,75301,Sud,Tiburon,1re Section Blactote,5 337,5 766,11 102
444,75302,Sud,Tiburon,2e Section Nan Sevre,1 210,1 441,2 651
445,75303,Sud,Tiburon,3e Section Loby,2 906,3 464,6 370
446,75304,Sud,Tiburon,4e Section Dalmette,1 730,1 910,3 640
447,81101,Grande'Anse,Jérémie,1re Section Basse Voldrogue,3 159,3 531,6 689
448,81102,Grande'Anse,Jérémie,2e Section Haute Voldrogue,5 928,6 511,12 439
449,81103,Grande'Anse,Jérémie,3e Section Haute Guinaudee,9 981,11 160,21 141
450,81104,Grande'Anse,Jérémie,4e Section Basse Guinaudee,4 620,5 164,9 784
451,81105,Grande'Anse,Jérémie,5e Section Ravine à Charles,5 332,5 962,11 295
452,81106,Grande'Anse,Jérémie,6e Section Îles Blanches,6 127,6 849,12 975
453,81107,Grande'Anse,Jérémie,7e Section Marfranc ou Grande Rivière,4 102,4 244,8 345
454,81108,Grande'Anse,Jérémie,8e Section Fond Rouge Dahere,14 269,13 526,27 794
455,81109,Grande'Anse,Jérémie,9e Section Fond Rouge Torbeck,13 946,13 569,27 515
456,81201,Grande'Anse,Abricots,1re Section Anse du Clerc,4 044,4 547,8 591
457,81202,Grande'Anse,Abricots,2e Section Balisiers,5 831,6 527,12 358
458,81203,Grande'Anse,Abricots,3e Section Danglise,3 388,3 808,7 196
459,81204,Grande'Anse,Abricots,4e Section la Seringue,4 969,5 588,10 557
460,81301,Grande'Anse,Bonbon,1re Section Desormeau ou Bonbon,4 071,4 776,8 847
461,81401,Grande'Anse,Moron,1re Section Anote ou 1re Tapion,6 953,7 683,14 635
462,81402,Grande'Anse,Moron,2e Section Sources Chaudes,2 713,2 982,5 695
463,81403,Grande'Anse,Moron,3e Section l'Assise ou Chameau,5 566,6 110,11 676
464,81501,Grande'Anse,Chambellan,1re Section Dejean,6 868,7 294,14 162
465,81502,Grande'Anse,Chambellan,2e Section Boucan,6 365,6 652,13 017
466,82101,Grande'Anse,Anse d'Hainault,1re Section Grandoit,8 527,9 137,17 664
467,82102,Grande'Anse,Anse d'Hainault,2e Section Boudon,3 480,4 009,7 490
468,82103,Grande'Anse,Anse d'Hainault,3e Section Îlet à Pierre Joseph,3 897,4 487,8 384
469,82104,Grande'Anse,Anse d'Hainault,4e Section Mandou,1 790,2 064,3 854
470,82201,Grande'Anse,Dame Marie,1re Section Bariadelle,2 780,3 092,5 872
471,82202,Grande'Anse,Dame Marie,2e Section Dallier,837,931,1 768
472,82203,Grande'Anse,Dame Marie,3e Section Desormeau,7 870,7 950,15 820
473,82204,Grande'Anse,Dame Marie,4e Section Petite Rivière,2 756,3 036,5 792
474,82205,Grande'Anse,Dame Marie,5e Section Baliverne,4 996,5 556,10 552
475,82301,Grande'Anse,Les Irois,1re Section Matador (Jorgue),6 138,7 250,13 388
476,82302,Grande'Anse,Les Irois,2e Section Belair,2 575,3 108,5 683
477,82303,Grande'Anse,Les Irois,3e Section Garcasse,2 294,2 647,4 941
478,83101,Grande'Anse,Corail,1re Section Duquillon,5 506,6 063,11 568
479,83102,Grande'Anse,Corail,2e Section Fond d'Icaque,2 901,3 284,6 185
480,83103,Grande'Anse,Corail,3e Section Champy (Nan Campêche),1 100,1 245,2 345
481,83201,Grande'Anse,Roseaux,1re Section Carrefour Charles ou Jacqui,3 440,3 922,7 362
482,83202,Grande'Anse,Roseaux,2e Section Fond Cochon ou Lopineau,5 634,6 425,12 060
483,83203,Grande'Anse,Roseaux,3e Section Grand Vincent,4 019,4 582,8 600
484,83204,Grande'Anse,Roseaux,4e Section les Gommiers,4 139,4 569,8 708
485,83301,Grande'Anse,Beaumont,"1re Section Beaumont
",9 712,10 395,20 107
486,83302,Grande'Anse,Beaumont,"2e Section Chardonnette
",4 260,4 667,8 927
487,83303,Grande'Anse,Beaumont,3e Section Mouline,1 625,1 782,3 407
488,83401,Grande'Anse,Pestel,1re Section Bernagousse,3 158,3 617,6 775
489,83402,Grande'Anse,Pestel,2e Section Espère,5 169,5 863,11 032
490,83403,Grande'Anse,Pestel,3e Section Jean Bellune,1 853,2 123,3 976
491,83404,Grande'Anse,Pestel,4e Section Tozia,5 842,6 693,12 535
492,83405,Grande'Anse,Pestel,5e Section Duchity,2 881,3 302,6 183
493,83406,Grande'Anse,Pestel,6e Section Les Îles Cayemittes,2 503,2 870,5 373
494,91101,Nord-Ouest,Port-de-Paix,1re Section Baudin,33 863,31 469,65 332
495,91102,Nord-Ouest,Port-de-Paix,2e Section la Pointe,6 038,5 797,11 834
496,91103,Nord-Ouest,Port-de-Paix,3e Section Aubert,55 361,51 152,106 513
497,91104,Nord-Ouest,Port-de-Paix,4e Section Mahotière,15 566,14 947,30 513
498,91105,Nord-Ouest,Port-de-Paix,5e Section Bas des Moustiques,8 346,8 012,16 358
499,91106,Nord-Ouest,Port-de-Paix,6e Section la Corne,6 399,6 144,12 542
500,91201,Nord-Ouest,La Tortue,1re Section Pointe des Oiseaux,11 293,11 589,22 882
501,91202,Nord-Ouest,La Tortue,2e Section Mare Rouge,11 616,11 824,23 440
502,91301,Nord-Ouest,Bassin Bleu,1re Section La Plate,10 844,10 926,21 770
503,91302,Nord-Ouest,Bassin Bleu,2e Section Carreau Datty,6 769,6 822,13 591
504,91303,Nord-Ouest,Bassin Bleu,3e Section Haut des Moustiques,20 235,20 017,40 253
505,91401,Nord-Ouest,Chamsolme,1re Section Chansolme,10 554,10 124,20 679
506,91402,Nord-Ouest,Chamsolme,2e Source Beauvoir,8 012,7 493,15 505
507,92101,Nord-Ouest,Saint-Louis du Nord,1re Section Rivière des Nègres,7 391,7 210,14 602
508,92102,Nord-Ouest,Saint-Louis du Nord,2e Section Derourvay,24 001,21 632,45 633
509,92103,Nord-Ouest,Saint-Louis du Nord,3e Section des Granges,15 624,14 707,30 331
510,92104,Nord-Ouest,Saint-Louis du Nord,4e Section Rivière de Barre,10 863,10 626,21 489
511,92105,Nord-Ouest,Saint-Louis du Nord,5e Section Bonneau,9 105,8 735,17 840
512,92106,Nord-Ouest,Saint-Louis du Nord,6e Section Lafague (Chamoise),4 431,4 338,8 769
513,92201,Nord-Ouest,Anse-à-Foleur,1re Section Bas de Sainte Anne,6 086,6 299,12 385
514,92202,Nord-Ouest,Anse-à-Foleur,2e Section Mayance,3 753,3 882,7 635
515,92203,Nord-Ouest,Anse-à-Foleur,3e Section Cotes de Fer,8 191,7 801,15 993
516,93101,Nord-Ouest,Môle Saint Nicolas,1re Section de Cotes de Fer,9 224,9 924,19 148
517,93102,Nord-Ouest,Môle Saint Nicolas,2e Section Mare-Rouge,9 995,10 602,20 597
518,93103,Nord-Ouest,Môle Saint Nicolas,3e Section Dame,298,313,611
519,93201,Nord-Ouest,Baie de Henne,1re Section Citerne Remy,895,950,1 845
520,93202,Nord-Ouest,Baie de Henne,2e Section Dos d'Ane,2 763,2 927,5 690
521,93203,Nord-Ouest,Baie de Henne,3e Section Reserve ou Ti Paradis,9 101,9 645,18 746
522,93204,Nord-Ouest,Baie de Henne,4e Section l'Estère Dere,3 049,3 188,6 237
523,93301,Nord-Ouest,Bombardopolis,1re Section Plate Forme,8 015,8 253,16 268
524,93302,Nord-Ouest,Bombardopolis,2e Section des Forges,8 006,8 588,16 594
525,93303,Nord-Ouest,Bombardopolis,3e Section Plaine d'Orange,4 863,5 213,10 075
526,93401,Nord-Ouest,Jean Rabel,1re Section Lacoma,14 802,15 308,30 110
527,93402,Nord-Ouest,Jean Rabel,2e Section Guinaudee,13 725,14 191,27 915
528,93403,Nord-Ouest,Jean Rabel,3e Section Vieille Hatte,16 523,16 785,33 308
529,93404,Nord-Ouest,Jean Rabel,4e Section la Montagne,7 170,7 418,14 587
530,93405,Nord-Ouest,Jean Rabel,5e Section Dessources,13 379,13 185,26 564
531,93406,Nord-Ouest,Jean Rabel,6e Section Grande Source,14 220,14 702,28 922
532,93407,Nord-Ouest,Jean Rabel,7e Section Diondion,7 606,7 867,15 473
533,101101,Nippes,Miragoâne,1re Section Chalon,17 482,17 621,35 103
534,101102,Nippes,Miragoâne,2e Section Belle Rivière,4 702,5 000,9 701
535,101103,Nippes,Miragoâne,3e Section Dessources,4 733,5 030,9 763
536,101104,Nippes,Miragoâne,4e Section St-Michel,4 797,4 867,9 664
537,101201,Nippes,Petite Rivière de Nippes,1re Section Fond des Lianes,4 720,5 244,9 964
538,101202,Nippes,Petite Rivière de Nippes,2e Section Cholette,2 935,3 301,6 235
539,101203,Nippes,Petite Rivière de Nippes,3e Section Silègue,4 726,5 252,9 979
540,101204,Nippes,Petite Rivière de Nippes,4e Section Bezin,1 483,1 669,3 153
541,101301,Nippes,Fonds des Nègres,1er Section Bouzi,3 158,3 120,6 278
542,101302,Nippes,Fonds des Nègres,2e Section Fond-des-Nègres ou Morne Brice,6 250,6 138,12 388
543,101303,Nippes,Fonds des Nègres,3e Section Pemerle,4 822,4 943,9 765
544,101304,Nippes,Fonds des Nègres,4e Section Cocoyers-Ducheine,2 909,2 984,5 893
545,101401,Nippes,Paillant,1re Section Salagnac,4 749,4 856,9 605
546,101402,Nippes,Paillant,2e Section Bezin II,4 025,4 175,8 200
547,102101,Nippes,Anse-à-Veau,1re Section Baconnois-Grand-Fond,3 606,4 057,7 662
548,102102,Nippes,Anse-à-Veau,2e Section Grande-Rivière-Joly,8 113,9 122,17 235
549,102103,Nippes,Anse-à-Veau,3e Section Saut du Baril,5 018,5 641,10 659
550,102201,Nippes,Petit Trou de Nippes,1re Section Raymond,3 545,4 325,7 870
551,102202,Nippes,Petit Trou de Nippes,2e Section Tiby,6 747,8 055,14 802
552,102203,Nippes,Petit Trou de Nippes,3e Section Liève ou Vigny,3 678,4 458,8 136
553,102301,Nippes,L'Asile,4e Section Morisseau,2 279,2 523,4 802
554,102302,Nippes,L'Asile,2e Section Changeux (Quartier de Changeux),4 792,5 243,10 035
555,102303,Nippes,L'Asile,1re Section l'Asile ou Nan Paul,4 230,4 604,8 834
556,102304,Nippes,L'Asile,3e Section Tournade (Quartier de Changeux),8 820,9 700,18 520
557,102401,Nippes,Arnaud,1re Section Baconnois-Barreau,4 234,4 715,8 950
558,102402,Nippes,Arnaud,2e Section Baquet,2 896,3 291,6 187
559,102403,Nippes,Arnaud,3e Section Arnaud (Morcou),2 923,3 224,6 146
560,102501,Nippes,Plaisance du Sud,1re Section Plaisance du Sud (ou ti François),4 776,5 638,10 413
561,102502,Nippes,Plaisance du Sud,2e Section Anse aux Pins,4 394,5 246,9 640
562,102503,Nippes,Plaisance du Sud,3e Section Vassal Labiche,3 616,4 319,7 934
563,103101,Nippes,Baradères,1re Section Gerin ou Mouton,2 764,3 286,6 050
564,103102,Nippes,Baradères,2e Section Tête d'Eau,3 999,4 767,8 767
565,103103,Nippes,Baradères,3e Section Fond Tortue,4 919,5 828,10 747
566,103104,Nippes,Baradères,4e Section la Plaine,3 598,4 284,7 883
567,103105,Nippes,Baradères,5e Section Rivière Salee,3 954,4 703,8 656
568,103201,Nippes,Grand-Boucan,1re Section Grand-Boucan,1 768,2 073,3 841
569,103202,Nippes,Grand-Boucan,2e Section Eaux Basses,1 025,1 107,2 132
