id_Section,No_section,adm0code,adm0_en,adm0_fr,adm0_ht,adm1code,adm1_en,adm1_fr,adm1_ht,adm2code,adm2_en,adm2_fr,adm2_ht,adm3code,adm3_en,adm3_fr,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
117-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0117,Cite Soleil,Cité Soleil, ,HT0117-01,2e Section des Varreux,2e Section des Varreux,66 485,34 598,31 887
117-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0117,Cite Soleil,Cité Soleil, ,HT0117-02,1re Section des Varreux,1re Section des Varreux,263 084,133 480,129 604
118-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0118,Tabarre,Tabarre, ,HT0118-03,3e Section Bellevue,3e Section Bellevue,121 242,63 950,57 292
118-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0118,Tabarre,Tabarre, ,HT0118-04,4e Section Bellevue,4e Section Bellevue,40 741,21 594,19 147
121-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-01,1re Section Dessources,1re Section Dessources,134 103,68 335,65 768
121-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-02,2e Section Petite Riviere,2e Section Petite Rivière,54 240,27 552,26 688
121-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-03,3e Section Grande Rivere,3e Section Grande Rivère,18 492,9 454,9 038
121-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-04,4e Section Fond de Boudin,4e Section Fond de Boudin,15 911,7 271,8 640
121-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-05,5e Section Palmiste a Vin,5e Section Palmiste à Vin,5 602,2 710,2 892
121-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-06,6e Section Orangers,6e Section Orangers,1 833,879,954
121-07,7,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-07,7e Section Parques,7e Section Parques,2 039,1 011,1 028
121-08,8,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-08,8e Section Beausejour,8e Section Beausejour,2 009,1 005,1 005
121-09,9,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-09,9e Section Citronniers,9e Section Citronniers,1 563,741,822
121-10,10,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-10,10e Section Fond d'Oie,10e Section Fond d'Oie,3 930,1 902,2 028
121-11,11,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-11,11e Section Gros Morne,11e Section Gros Morne,3 216,1 618,1 599
121-12,12,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-12,12e Section Cormiers,12e Section Cormiers,2 668,1 274,1 394
121-13,13,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0121,Leogane,Léogâne, ,HT0121-13,13e Section Petit Harpon,13e Section Petit Harpon,2 825,1 329,1 496
122-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-01,1re Section Bino,1re Section Bino,35 346,17 402,17 945
122-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-02,2e Section Delatre,2e Section Delatre,3 948,1 823,2 125
122-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-03,3e Section Trou Chouchou,3e Section Trou Chouchou,1 981,875,1 105
122-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-04,4e Section Fond Arabie,4e Section Fond Arabie,1 792,780,1 012
122-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-05,5e Section Trou Canari,5e Section Trou Canari,647,279,368
122-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-06,6e Section Trou Canari,6e Section Trou Canari,2 559,1 136,1 422
122-07,7,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-07,7e Section des Platons,7e Section des Platons,855,385,470
122-08,8,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-08,8e Section des Platons,8e Section des Platons,4 958,2 211,2 748
122-09,9,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-09,9e Section des Palmes,9e Section des Palmes,2 097,954,1 144
122-10,10,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-10,10e Section des Palmes,10e Section des Palmes,1 296,578,717
122-11,11,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-11,11e Section Ravine Seche,11e Section Ravine Sèche,136 191,68 017,68 174
122-12,12,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0122,Petit-Goave,Petit-Goâve, ,HT0122-12,12e Section des Fourques,12e Section des Fourques,23 382,11 871,11 511
123-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-01,1re Section Tete-a-Boeuf,1re Section Tête-à-Boeuf,60 870,30 169,30 701
123-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-02,2e Section Tete-a-Boeuf,2e Section Tête-à-Boeuf,12 759,6 387,6 372
123-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-03,3e Section Moussambe,3e Section Moussambe,4 178,2 163,2 014
123-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-04,4e Section Moussambe,4e Section Moussambe,8 413,4 272,4 141
123-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-05,5e Section Grande Colline,5e Section Grande Colline,6 420,3 157,3 264
123-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-06,6e Section Grande Colline,6e Section Grande Colline,5 712,2 825,2 887
123-07,7,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0123,Grand-Goave,Grand-Goâve, ,HT0123-07,7e Section Gerard,7e Section Gerard,71 362,40 582,30 781
131-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-01,1re Section des Varreux,1re Section des Varreux,27 242,14 868,12 375
131-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-02,2e Section des Varreux,2e Section des Varreux,127 899,61 654,66 245
131-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-03,3e Section Petit Bois,3e Section Petit Bois,101 666,53 088,48 578
131-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-04,4e Section Petit Bois,4e Section Petit Bois,9 110,5 016,4 094
131-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-05,5e Section Petit Bois,5e Section Petit Bois,14 657,8 018,6 639
131-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-06,6e Section Belle Fontaine,6e Section Belle Fontaine,2 551,1 324,1 227
131-07,7,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-07,7e Section Belle Fontaine,7e Section Belle Fontaine,4 878,2 622,2 255
131-08,8,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0131,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131-08,8e Section Belle Fontaine,8e Section Belle Fontaine,8 915,4 665,4 250
